GO,level
GO:0048522,5
GO:0006457,3
GO:0032196,3
GO:0001775,3
GO:0036166,3
GO:0035212,5
GO:0060352,3
GO:0090618,3
GO:0019725,5
GO:0000920,4
GO:0008037,3
GO:0006276,3
GO:0045103,3
GO:0022402,4
GO:0140253,7
GO:0006928,3
GO:1990748,6
GO:0007049,3
GO:0000075,7
GO:0030029,3
GO:0007163,3
GO:0007165,5
GO:0010496,5
GO:0044237,3
GO:0048523,5
GO:0007059,3
GO:0010118,3
GO:0007017,3
GO:0060242,3
GO:0097528,7
GO:0044764,3
GO:0071554,3
GO:0034337,3
GO:0022406,3
GO:0044663,4
GO:0140029,3
GO:0050794,4
GO:0007272,7
GO:0008219,3
GO:0035638,6
GO:0032940,6
GO:0006949,6
GO:0051301,3
GO:0016043,3
GO:0016458,8
GO:0019835,3
GO:0061919,3
GO:0007154,3
GO:0051651,5
GO:0043335,3
GO:0006903,7
GO:0097194,8
GO:0044851,3
GO:0022601,3
GO:0022403,3
GO:0060206,3
GO:0072690,3
GO:1904873,9
GO:1905098,7
GO:1904911,8
GO:1905953,6
GO:0045882,7
GO:1900096,11
GO:1902684,8
GO:1905338,13
GO:0042754,5
GO:1903548,9
GO:1905385,8
GO:0002683,5
GO:0034260,7
GO:1900047,7
GO:0048086,5
GO:1903828,7
GO:0051918,12
GO:0031342,5
GO:1902631,7
GO:1904581,7
GO:1902886,12
GO:2000326,12
GO:1904537,10
GO:1904703,9
GO:0043901,5
GO:1905869,15
GO:1905513,13
GO:0060302,9
GO:1904180,8
GO:1905604,6
GO:1900272,13
GO:0051051,6
GO:0009892,5
GO:0045759,7
GO:0023057,5
GO:1900453,13
GO:1903665,5
GO:0043433,13
GO:1904950,7
GO:2000198,7
GO:0045942,7
GO:0110066,10
GO:2000199,7
GO:0051919,12
GO:0045949,7
GO:1905514,13
GO:0023056,5
GO:0048087,5
GO:1904181,8
GO:1900097,11
GO:1905954,6
GO:0045760,7
GO:0060301,9
GO:0051091,13
GO:0043902,5
GO:1903549,9
GO:1900048,7
GO:1904582,7
GO:1904874,9
GO:0051050,6
GO:1905605,6
GO:1902474,7
GO:0045883,7
GO:0031343,5
GO:1900454,13
GO:1903666,5
GO:1905099,7
GO:0045785,5
GO:1904951,7
GO:1903829,7
GO:1904704,9
GO:0002684,5
GO:0009893,5
GO:1902632,7
GO:1905339,13
GO:1904912,8
GO:0044089,5
GO:0042753,5
GO:0031640,6
GO:0031341,4
GO:0001909,3
GO:0097278,9
GO:0006795,6
GO:0061887,5
GO:0019953,5
GO:0032505,3
GO:0019954,3
GO:0061842,3
GO:0033036,3
GO:0051674,3
GO:1902579,3
GO:0036214,8
GO:0035732,8
GO:0032879,4
GO:0051235,4
GO:0051641,3
GO:0051234,3
GO:0140041,8
GO:0010127,6
GO:0009407,6
GO:0071722,6
GO:0051410,6
GO:0010312,8
GO:0061687,6
GO:0090675,6
GO:0007155,3
GO:0044406,5
GO:0021838,15
GO:0023051,4
GO:0035426,4
GO:0021837,18
GO:0021807,18
GO:0007267,4
GO:0043610,8
GO:0006792,6
GO:0071898,7
GO:1902630,6
GO:0098900,6
GO:1905097,6
GO:0043900,4
GO:0042752,4
GO:0002682,4
GO:1903664,4
GO:0097006,4
GO:0019222,4
GO:0048070,4
GO:1905603,5
GO:0030155,4
GO:1900046,6
GO:0044087,4
GO:0001834,11
GO:0002174,9
GO:0044340,10
GO:0008285,6
GO:0051450,3
GO:0070341,3
GO:0035988,3
GO:0014009,9
GO:0010463,3
GO:0061351,3
GO:0003419,13
GO:0033687,3
GO:0071838,3
GO:0071335,3
GO:0070661,3
GO:0090255,12
GO:0072111,9
GO:0035726,3
GO:0033002,3
GO:0035172,3
GO:1990654,3
GO:0050673,3
GO:0035736,11
GO:2000793,9
GO:0001833,11
GO:0002941,3
GO:0072089,5
GO:0008284,6
GO:0042127,5
GO:0097360,3
GO:0061323,9
GO:0048144,3
GO:0042445,5
GO:0032259,3
GO:0009058,3
GO:0045730,3
GO:0006807,3
GO:1902421,3
GO:0070988,3
GO:1901275,3
GO:0070085,3
GO:0071704,3
GO:0006098,3
GO:0044281,3
GO:0032963,3
GO:1901902,3
GO:0055114,3
GO:0019748,3
GO:0044033,3
GO:0009056,3
GO:1990845,3
GO:0042440,3
GO:0044238,3
GO:0019882,3
GO:0002440,3
GO:0002253,7
GO:0031294,9
GO:0042386,5
GO:0002507,7
GO:0090713,4
GO:0001776,6
GO:0002404,7
GO:0002252,3
GO:0045058,12
GO:0045321,4
GO:0050900,6
GO:0002520,6
GO:0002262,6
GO:0002339,12
GO:0002200,7
GO:0051707,5
GO:0098740,4
GO:0044366,3
GO:0051816,5
GO:0051703,3
GO:0044419,3
GO:0065009,3
GO:0065008,3
GO:0044085,3
GO:0042750,4
GO:0042751,4
GO:0050802,7
GO:0044245,4
GO:0044241,4
GO:0044256,4
GO:0022600,4
GO:0042749,6
GO:1903365,6
GO:0010901,10
GO:1905879,9
GO:0032899,5
GO:0042634,5
GO:1902490,12
GO:0046662,7
GO:0044057,5
GO:0120161,8
GO:1900221,5
GO:0090318,10
GO:0045610,6
GO:1903186,9
GO:1904301,7
GO:1905936,8
GO:0001817,5
GO:0035490,9
GO:0010984,10
GO:0031654,8
GO:0045700,12
GO:0060688,6
GO:2000036,5
GO:2000026,5
GO:0030278,5
GO:0060405,9
GO:1904838,11
GO:0043576,5
GO:0050818,5
GO:0034444,9
GO:1903593,14
GO:0090107,9
GO:0060278,9
GO:0010632,8
GO:0060264,8
GO:0080092,10
GO:0040014,6
GO:0034103,5
GO:0046620,6
GO:0035206,6
GO:1903681,7
GO:0070255,8
GO:0043012,9
GO:0031650,8
GO:1902435,9
GO:0034377,7
GO:0071829,7
GO:0034369,7
GO:0048736,5
GO:0007538,6
GO:0007562,5
GO:0002165,6
GO:0009790,5
GO:0042335,5
GO:0007545,6
GO:0002164,6
GO:0007349,6
GO:0048229,5
GO:0046660,6
GO:0007552,5
GO:0045137,6
GO:0010259,5
GO:0018992,6
GO:0018993,6
GO:0048731,5
GO:0035295,5
GO:0030237,6
GO:0046661,6
GO:0030238,6
GO:0035188,5
GO:0010223,9
GO:0061138,7
GO:0080181,11
GO:0048755,7
GO:0061137,6
GO:1903941,6
GO:1903942,6
GO:0003016,4
GO:0043479,8
GO:0043932,5
GO:0030279,6
GO:0030282,8
GO:0036076,4
GO:0001649,5
GO:0036075,4
GO:0045778,6
GO:0036077,4
GO:0036072,4
GO:0043931,9
GO:2000033,12
GO:0048838,12
GO:0010231,12
GO:1902039,13
GO:0048700,12
GO:1902040,13
GO:0019226,9
GO:0061337,8
GO:0007509,10
GO:0090132,4
GO:0090131,9
GO:1900223,6
GO:1900222,6
GO:0150093,7
GO:0150094,5
GO:0010187,9
GO:0048623,8
GO:0010029,8
GO:0010030,9
GO:0080001,10
GO:0036364,6
GO:1901388,7
GO:0036366,6
GO:1901390,8
GO:0036365,6
GO:1901389,8
GO:0007593,5
GO:0040005,5
GO:0018989,5
GO:0040004,5
GO:0018990,5
GO:0022405,5
GO:0042395,5
GO:0018996,4
GO:0042633,4
GO:0007591,4
GO:0098868,5
GO:0046621,7
GO:0046622,7
GO:0060419,8
GO:0060736,9
GO:0060437,9
GO:0007446,8
GO:0050891,7
GO:0060586,11
GO:0001894,6
GO:0097009,6
GO:0001659,6
GO:0002022,7
GO:0002024,7
GO:0002023,7
GO:0007596,6
GO:0050819,6
GO:0042381,6
GO:0050820,6
GO:0002645,9
GO:0051461,12
GO:0060456,7
GO:0045696,10
GO:1903188,10
GO:0031652,9
GO:0090184,10
GO:0140196,16
GO:0090319,11
GO:1903816,10
GO:0048091,9
GO:0042635,6
GO:2000534,9
GO:0003104,11
GO:0070368,11
GO:2000078,13
GO:0048093,9
GO:1903524,7
GO:0110039,10
GO:0045699,10
GO:1905284,13
GO:0045801,7
GO:2000294,9
GO:0040019,7
GO:0090108,10
GO:0001819,6
GO:1905941,10
GO:1903708,10
GO:2000729,11
GO:1904414,11
GO:0010986,11
GO:0060279,10
GO:0045693,10
GO:0061036,9
GO:1902868,12
GO:1904443,11
GO:1905423,9
GO:1905068,12
GO:1904840,12
GO:1901079,8
GO:0070257,9
GO:0045973,12
GO:1903683,8
GO:1905938,9
GO:0045938,9
GO:0014742,8
GO:0140195,16
GO:1905209,10
GO:0032901,6
GO:0035815,12
GO:1901165,9
GO:0033601,12
GO:0120162,9
GO:0045830,15
GO:0060406,10
GO:1903781,10
GO:0051962,8
GO:1905142,9
GO:0010841,9
GO:2000055,11
GO:2000228,12
GO:1902492,13
GO:0048081,8
GO:0048636,9
GO:0075261,10
GO:1902459,6
GO:1904179,9
GO:1902754,8
GO:0040018,7
GO:1902814,17
GO:0031656,9
GO:2000063,12
GO:0032278,12
GO:1904303,8
GO:2001153,11
GO:0045702,13
GO:0034105,6
GO:1901046,8
GO:0035491,10
GO:1905278,10
GO:0010718,11
GO:0045690,10
GO:2000830,12
GO:0070165,12
GO:0010634,9
GO:2001111,13
GO:0110110,9
GO:1902437,10
GO:0010902,11
GO:1901248,13
GO:1903404,9
GO:0014744,8
GO:1900224,17
GO:1903012,9
GO:0060769,11
GO:1905623,10
GO:2000315,12
GO:0045805,7
GO:1901251,14
GO:0048582,7
GO:1904018,10
GO:1905956,10
GO:1905294,11
GO:1902748,13
GO:0045933,8
GO:0032340,12
GO:1904655,11
GO:0031646,7
GO:1905881,10
GO:2000833,12
GO:0060265,9
GO:1903367,7
GO:1903489,11
GO:1903106,13
GO:2000017,11
GO:1905300,11
GO:0070169,9
GO:2000103,11
GO:1903595,15
GO:0062000,11
GO:2000792,11
GO:0045618,10
GO:0010985,11
GO:0060457,7
GO:1903707,10
GO:1904654,11
GO:1903523,7
GO:2000829,12
GO:0010903,11
GO:2001110,13
GO:1905937,9
GO:0003105,11
GO:0048635,9
GO:0090185,10
GO:2000293,9
GO:0014741,8
GO:0035155,10
GO:1901250,14
GO:0070256,9
GO:0001818,6
GO:2000062,12
GO:0048092,9
GO:2000077,13
GO:0042636,6
GO:0140199,16
GO:0048090,9
GO:0031655,9
GO:2000054,11
GO:1903105,13
GO:0010719,11
GO:0045617,10
GO:1901045,8
GO:0034445,10
GO:0031645,7
GO:1903815,10
GO:2000832,12
GO:0032900,6
GO:0045698,10
GO:0051961,8
GO:1904839,12
GO:1901078,8
GO:0035157,10
GO:2001152,11
GO:0060280,10
GO:0045804,7
GO:1904302,8
GO:0031651,9
GO:2000314,12
GO:1904442,11
GO:1905208,10
GO:0072200,11
GO:0051460,12
GO:1900033,9
GO:1905293,11
GO:1901343,10
GO:0045829,15
GO:1900146,16
GO:0045695,10
GO:0070367,11
GO:1901247,13
GO:0060266,9
GO:1905141,9
GO:0070168,9
GO:0010633,9
GO:0035492,10
GO:1904413,11
GO:2000102,11
GO:1905940,10
GO:1903011,9
GO:1905422,9
GO:0060614,11
GO:0075262,10
GO:0032339,12
GO:1905277,10
GO:0110038,10
GO:1902436,10
GO:0140194,16
GO:1903403,9
GO:1903366,7
GO:0033600,12
GO:0014745,8
GO:0045992,7
GO:0003308,11
GO:0110111,9
GO:0040015,7
GO:0045800,7
GO:1903488,11
GO:0043013,10
GO:0060829,12
GO:2000533,9
GO:0048581,7
GO:1905880,10
GO:0060770,11
GO:1901164,9
GO:0035814,12
GO:1903780,10
GO:0045701,13
GO:1903682,8
GO:2000016,11
GO:0045972,12
GO:0061106,12
GO:0045689,10
GO:1902747,13
GO:0045932,8
GO:0042321,9
GO:1903594,15
GO:1905955,10
GO:0048080,8
GO:0062001,11
GO:1904178,9
GO:0034104,6
GO:1902813,17
GO:1903187,10
GO:1905622,10
GO:1902491,13
GO:0120163,9
GO:0061037,9
GO:0002644,9
GO:1903133,10
GO:1902455,6
GO:0032277,12
GO:0070164,12
GO:0045692,10
GO:2000791,11
GO:2000227,12
GO:1902753,8
GO:2000057,11
GO:0060407,10
GO:1902867,12
GO:1905283,13
GO:1905299,11
GO:0008345,4
GO:0035177,4
GO:0030536,4
GO:0016204,10
GO:0030590,7
GO:0030589,8
GO:0032902,4
GO:0032605,4
GO:0034343,4
GO:0032623,4
GO:0032602,4
GO:0032630,4
GO:0072639,4
GO:0032621,4
GO:0032612,4
GO:0032604,4
GO:0032618,4
GO:0032636,4
GO:0032638,4
GO:0072635,4
GO:0002390,4
GO:0032613,4
GO:0090270,6
GO:0042089,7
GO:0032637,4
GO:0002534,7
GO:0032601,4
GO:0072633,4
GO:0032609,4
GO:0032614,4
GO:0032620,4
GO:0032631,4
GO:0032628,4
GO:0032626,4
GO:0002367,4
GO:0072637,4
GO:0071604,4
GO:0050663,10
GO:0032625,4
GO:0032606,4
GO:0070753,4
GO:0032624,4
GO:0036301,4
GO:0044808,4
GO:0032632,4
GO:0090360,4
GO:0032634,4
GO:0032633,4
GO:0071706,4
GO:0032616,4
GO:0032622,4
GO:0032615,4
GO:0032619,4
GO:0044807,4
GO:0032635,4
GO:0090269,4
GO:0071611,4
GO:0010573,4
GO:0032617,4
GO:0032629,4
GO:0032627,4
GO:0070075,7
GO:0030157,7
GO:0033326,7
GO:0070254,7
GO:0046541,7
GO:0060156,10
GO:0022620,8
GO:0022619,8
GO:0048235,8
GO:0071830,10
GO:0034383,10
GO:0034447,10
GO:0150024,10
GO:0034384,10
GO:0010075,7
GO:0010074,7
GO:0106025,10
GO:0106024,10
GO:0106023,9
GO:0010233,6
GO:0003055,10
GO:0048648,6
GO:0048652,6
GO:0048651,6
GO:0048624,6
GO:0007567,5
GO:0007341,8
GO:0060378,5
GO:0044552,10
GO:0046692,9
GO:0007565,5
GO:0007320,8
GO:0097709,4
GO:0003294,9
GO:0034102,8
GO:0046849,4
GO:0060056,10
GO:0097350,8
GO:0002247,8
GO:0061843,4
GO:0001974,4
GO:0060386,9
GO:0060385,14
GO:1901047,11
GO:0035019,5
GO:1904671,7
GO:0030718,5
GO:0097150,5
GO:0022609,4
GO:0009563,8
GO:0048314,8
GO:0009558,8
GO:0009557,8
GO:0055045,8
GO:0009559,8
GO:0009562,8
GO:0009560,8
GO:0002351,7
GO:0002537,7
GO:0002393,7
GO:0002536,7
GO:0002538,7
GO:0002349,7
GO:0080127,9
GO:0010374,6
GO:0010228,8
GO:0048316,9
GO:0009640,7
GO:0090696,7
GO:0031077,10
GO:0090351,6
GO:0010311,11
GO:0048580,6
GO:0090567,8
GO:0035166,9
GO:1990059,9
GO:1990058,9
GO:0009886,6
GO:0010049,6
GO:0009647,8
GO:0010050,6
GO:0070268,10
GO:0010031,4
GO:0050881,4
GO:0009880,6
GO:0065001,7
GO:0060896,6
GO:0061004,9
GO:0009798,6
GO:0035287,9
GO:0060810,6
GO:0007379,8
GO:0045468,10
GO:0060581,6
GO:0061968,6
GO:0080006,7
GO:0060432,9
GO:0003002,6
GO:0035161,9
GO:0016318,12
GO:0009799,6
GO:0072048,8
GO:0007633,7
GO:0008542,9
GO:0007634,7
GO:0051866,5
GO:0042596,5
GO:0048265,5
GO:0010582,10
GO:0048148,8
GO:0008344,4
GO:0048149,7
GO:0035095,6
GO:0048150,6
GO:0008343,4
GO:0007588,4
GO:0003013,4
GO:0003012,4
GO:0003014,4
GO:0050877,4
GO:0061007,4
GO:0050886,4
GO:0036343,4
GO:0018991,6
GO:0045297,6
GO:0044705,6
GO:0060746,6
GO:0007617,7
GO:2000821,5
GO:0048512,4
GO:0035641,4
GO:0045475,5
GO:0035178,4
GO:0090659,4
GO:0036269,4
GO:0007637,8
GO:0098582,4
GO:0098583,8
GO:1903368,5
GO:0090328,10
GO:0060259,5
GO:1905790,6
GO:1904059,6
GO:2000822,7
GO:0090325,5
GO:0032538,5
GO:0007612,7
GO:0098598,7
GO:0007613,7
GO:0031223,6
GO:1905792,7
GO:1905791,7
GO:0002211,8
GO:0001967,4
GO:0035176,4
GO:0035737,4
GO:0002118,4
GO:0002212,8
GO:0032539,6
GO:0032540,6
GO:0001662,6
GO:0060758,4
GO:1903370,6
GO:0060757,4
GO:1903369,6
GO:2000986,8
GO:1904060,7
GO:0090327,6
GO:1904326,9
GO:2000252,6
GO:2000253,6
GO:0090326,6
GO:1904061,7
GO:2000987,8
GO:0042756,4
GO:0035199,4
GO:0042755,4
GO:0001661,9
GO:0061366,7
GO:0007636,6
GO:0042048,5
GO:0090033,6
GO:0044148,8
GO:0048639,6
GO:2000605,6
GO:0040010,6
GO:0030307,7
GO:0044146,8
GO:0030308,7
GO:0045967,6
GO:0048640,6
GO:2000604,6
GO:0060258,6
GO:0051124,8
GO:0090214,11
GO:0055017,9
GO:0060560,5
GO:0080112,10
GO:0048630,10
GO:0080186,4
GO:0048588,6
GO:0003248,11
GO:0001832,10
GO:0042246,6
GO:0007295,9
GO:0001547,11
GO:0035266,6
GO:0048638,5
GO:0040009,5
GO:0044144,7
GO:0001558,6
GO:2000603,5
GO:0010568,7
GO:0044126,8
GO:0010570,5
GO:0044153,6
GO:0044116,6
GO:0044112,6
GO:0043930,12
GO:0043929,12
GO:0007124,6
GO:0016475,5
GO:0009825,4
GO:0009826,7
GO:0051210,4
GO:0051211,4
GO:0007118,6
GO:0007119,6
GO:0044181,6
GO:0044182,4
GO:0044180,4
GO:0030448,4
GO:0001402,6
GO:0080193,4
GO:0080117,4
GO:0080192,4
GO:0080191,4
GO:1905850,6
GO:0075055,11
GO:0075203,11
GO:0075050,10
GO:2000147,7
GO:0075232,10
GO:0075199,11
GO:1905852,6
GO:0050921,7
GO:1902188,11
GO:0060362,6
GO:0001539,5
GO:0021805,16
GO:2000145,6
GO:0090247,10
GO:0071976,5
GO:0043107,5
GO:0097230,8
GO:0097231,8
GO:0060327,6
GO:0070358,5
GO:0071975,5
GO:0003411,11
GO:0016477,5
GO:2000146,7
GO:0021814,16
GO:0001966,5
GO:0042332,5
GO:0009453,5
GO:0006935,5
GO:0043052,5
GO:0021844,14
GO:0052371,7
GO:0050920,6
GO:0043059,5
GO:0075231,9
GO:0043058,5
GO:1902186,10
GO:0052216,6
GO:0052215,6
GO:0051814,6
GO:0052195,6
GO:0052126,6
GO:0044007,6
GO:0051822,6
GO:0075051,10
GO:0075200,11
GO:0075056,11
GO:1905849,6
GO:0050922,7
GO:1905851,6
GO:0075233,10
GO:0075204,11
GO:1902187,11
GO:0043057,4
GO:0043056,4
GO:0060521,14
GO:0045853,16
GO:0045854,16
GO:0008359,15
GO:0035263,9
GO:0070684,9
GO:0060138,7
GO:0009900,5
GO:0010431,10
GO:0060136,7
GO:0030728,8
GO:0042713,9
GO:1990068,11
GO:0061956,8
GO:0022605,9
GO:0007276,6
GO:0060135,6
GO:0060137,6
GO:0043084,8
GO:0035043,9
GO:0097723,6
GO:0030317,6
GO:0062038,15
GO:0060472,14
GO:0060859,13
GO:0042070,15
GO:0007312,15
GO:0048868,5
GO:0010198,7
GO:0010483,5
GO:0051447,10
GO:0051446,10
GO:0051445,9
GO:0048236,10
GO:0034293,9
GO:0008335,10
GO:0007301,10
GO:2000245,9
GO:2000246,9
GO:2000244,8
GO:0030712,12
GO:0030711,12
GO:0030710,11
GO:0060768,10
GO:0060517,12
GO:0019095,16
GO:0019094,16
GO:0061950,6
GO:0061949,5
GO:0060046,9
GO:2000344,10
GO:0002078,9
GO:1902225,10
GO:0060112,7
GO:0061363,12
GO:0001554,10
GO:0061364,11
GO:0042704,7
GO:0001549,12
GO:0001551,11
GO:0042699,11
GO:0001553,10
GO:0001544,11
GO:0042701,11
GO:0001542,10
GO:0001543,11
GO:0001548,12
GO:0060782,10
GO:0080154,7
GO:0060800,11
GO:1905416,7
GO:0075260,9
GO:0060685,12
GO:1905939,9
GO:1901163,8
GO:0009909,10
GO:0110079,11
GO:0060687,12
GO:0031137,9
GO:0080050,10
GO:0010081,11
GO:0060723,11
GO:1901261,10
GO:0045694,9
GO:0048089,8
GO:0110037,9
GO:1901317,7
GO:0048088,8
GO:0031494,8
GO:2000028,10
GO:0032121,12
GO:0030476,13
GO:0051333,8
GO:0072000,12
GO:1902980,14
GO:0033206,8
GO:0000212,8
GO:0090172,10
GO:0034090,11
GO:0090699,11
GO:1902972,14
GO:1902976,14
GO:0070591,12
GO:0034217,13
GO:0070192,6
GO:0043935,10
GO:1903563,12
GO:0033313,8
GO:0051755,11
GO:0051078,8
GO:0007131,10
GO:0051295,8
GO:0071998,11
GO:0032120,13
GO:0051756,11
GO:0006279,13
GO:0016344,9
GO:1902982,14
GO:1903537,12
GO:0051257,10
GO:0072439,14
GO:0070197,13
GO:1902984,14
GO:0000706,11
GO:0044771,6
GO:0030999,11
GO:1902974,14
GO:0061983,6
GO:0034089,11
GO:0051026,11
GO:1903695,12
GO:1990898,13
GO:0034294,10
GO:0051878,12
GO:0051311,9
GO:0051316,9
GO:1990395,9
GO:0030989,10
GO:0070583,14
GO:0034408,13
GO:0072461,13
GO:0051232,9
GO:0140013,7
GO:0045132,8
GO:0031322,13
GO:0061982,6
GO:0000709,11
GO:0051307,9
GO:1902978,14
GO:1901372,12
GO:0072411,9
GO:1990918,11
GO:0032118,11
GO:0031321,12
GO:1990899,13
GO:0007339,9
GO:0048480,13
GO:0048437,10
GO:0060674,10
GO:0010234,18
GO:0048317,10
GO:0060744,12
GO:0035848,9
GO:0048601,11
GO:0060008,10
GO:0009835,9
GO:0010254,10
GO:0070788,10
GO:0001675,11
GO:0046844,12
GO:0031382,10
GO:0044671,9
GO:0061038,9
GO:0060714,12
GO:0060010,11
GO:0048460,11
GO:0048515,9
GO:0060530,10
GO:0048444,11
GO:0048658,14
GO:0035262,9
GO:0060740,10
GO:0007287,11
GO:0060669,10
GO:0030713,10
GO:0001893,9
GO:0007309,12
GO:0060524,12
GO:0046697,10
GO:0080126,14
GO:0007535,8
GO:0048461,11
GO:0060713,11
GO:0001892,9
GO:0010622,16
GO:0010480,14
GO:0048482,15
GO:0001555,11
GO:0048458,12
GO:0060670,12
GO:0048608,7
GO:0048071,6
GO:0010093,13
GO:0061683,10
GO:0007293,9
GO:0048449,12
GO:0010451,10
GO:0048559,11
GO:0030714,10
GO:0048656,16
GO:0048240,11
GO:0090378,11
